Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
South Dakota Total Estimate,,"85,108","11,182","31,547","33,150","9,229","605,735","17,732","23,641","177,171","115,863","80,011","131,481","59,836","564,362","191,317","111,152","102,950","40,177","116,031","110,284","44,475","212,643","199,134","61,581","165,909","151,994","45,084",,"514,332","488,426","172,026","511,061","485,578","171,321","10,654","9,271","2,157","35,475","28,356","3,706","7,829","6,390","4,193",N,N,N,"10,037","6,898","1,980","26,756","24,375","7,255","19,977","15,161","3,776",,(X),(X),(X),(X),,"45,902","30,523","38,669","45,237","52,325","67,981"
Tennessee Total Estimate,,"648,096","64,780","256,807","245,312","81,197","4,868,110","172,298","297,214","1,523,487","979,617","381,534","958,365","555,595","4,398,598","1,513,960","964,188","905,311","338,822","909,015","829,787","329,567","1,776,943","1,605,649","529,973","1,217,964","1,057,851","315,598",,"3,711,340","3,405,556","1,209,140","3,672,433","3,375,051","1,198,066","714,807","635,091","166,996","10,024","7,874","1,365","91,159","81,300","52,059","4,066","3,474",800,"83,928","58,559","19,312","252,786","206,744","64,288","219,909","155,627","48,244",,(X),(X),(X),(X),,"45,072","30,183","36,093","41,663","57,539","72,837"
Texas Total Estimate,,"2,992,526","425,179","1,068,636","1,142,295","356,416","19,597,383","1,406,769","1,315,239","4,733,230","3,970,970","1,519,767","4,242,031","2,409,377","16,875,375","6,651,408","4,329,357","3,914,844","1,529,714","4,238,922","3,713,767","1,611,616","6,992,019","5,897,621","2,300,750","4,037,085","3,349,143","1,209,328",,"9,969,975","9,271,679","3,983,139","8,543,201","8,141,857","3,677,581","2,340,132","2,140,583","678,431","160,937","120,654","29,999","1,146,211","1,032,556","728,518","20,851","18,574","4,377","1,825,972","1,184,242","258,905","4,133,305","3,107,087","968,039","6,977,651","5,010,717","1,335,857",,(X),(X),(X),(X),,"48,430","29,317","36,217","43,687","64,905","82,824"
Utah Total Estimate,,"407,295","43,058","145,577","185,125","33,535","2,042,912","61,132","81,503","449,458","472,228","203,542","505,215","269,834","1,900,277","775,049","494,776","468,700","190,129","461,217","428,996","194,966","683,220","624,819","250,373","403,699","377,762","139,581",,"1,662,446","1,593,968","672,039","1,607,651","1,547,132","657,600","18,605","15,940","5,395","22,318","17,981","4,709","58,768","50,576","29,897","20,351","18,862","4,446","117,168","78,543","15,886","143,256","124,407","42,677","262,756","198,073","50,305",,(X),(X),(X),(X),,"51,104","37,472","40,700","43,406","60,973","90,548"
Vermont Total Estimate,,"65,687","6,900","22,605","28,454","7,728","467,643","7,709","15,759","121,782","74,187","41,367","114,633","92,206","444,175","206,839","77,515","75,550","37,076","80,179","76,937","41,584","170,122","161,055","69,806","139,827","130,633","58,373",,"430,729","409,424","189,658","427,998","406,894","188,253","4,280","4,153","1,511",N,N,N,"7,294","6,267","4,088",N,N,N,"2,718","2,481","1,194","21,838","21,105","10,154","9,402","8,994","4,661",,(X),(X),(X),(X),,"50,561","34,612","41,388","44,003","54,163","68,409"
Virginia Total Estimate,,"842,750","79,815","305,363","331,801","125,771","5,978,782","209,876","295,899","1,431,624","1,067,612","451,737","1,409,942","1,112,092","5,473,007","2,522,034","1,156,622","1,097,024","521,817","1,180,820","1,094,498","564,482","2,179,298","1,994,380","911,500","1,462,042","1,287,105","524,235",,"3,792,296","3,562,300","1,704,938","3,719,810","3,500,672","1,679,111","1,090,143","975,018","310,996","17,965","14,415","4,338","433,811","394,280","275,860","4,476","4,010","1,923","225,092","159,902","53,295","414,999","363,082","170,684","512,384","396,091","156,824",,(X),(X),(X),(X),,"55,607","30,436","39,730","45,135","73,893","96,914"
Washington Total Estimate,,"671,550","85,472","244,136","235,801","106,141","5,470,209","192,061","236,434","1,176,424","1,161,011","544,596","1,302,707","856,976","5,041,714","2,159,683","1,176,297","1,099,889","507,869","1,115,638","1,022,651","486,138","1,869,132","1,704,326","701,558","1,309,142","1,214,848","464,118",,"3,831,713","3,650,370","1,547,697","3,738,215","3,573,047","1,524,116","207,097","183,527","57,122","61,648","50,815","9,918","566,954","513,845","338,081","35,417","30,786","4,776","255,114","163,474","41,207","512,266","448,897","160,882","572,985","412,642","113,154",,(X),(X),(X),(X),,"59,430","36,000","42,288","51,740","76,376","100,613"
West Virginia Total Estimate,,"161,047","17,552","67,403","58,928","17,164","1,262,566","43,318","93,833","484,166","216,917","111,246","188,793","124,293","1,125,415","313,086","207,092","193,828","60,839","216,666","198,663","67,069","462,646","409,404","107,315","376,162","323,520","77,863",,"1,156,551","1,032,527","287,457","1,150,941","1,027,701","286,133","41,671","37,927","7,379","2,009","1,552",203,"10,208","9,616","6,463",N,N,N,"6,786","5,178",953,"45,213","38,581","10,597","19,806","16,341","4,402",,(X),(X),(X),(X),,"42,738","26,692","35,052","40,791","52,887","63,974"
Wisconsin Total Estimate,,"562,259","59,412","208,947","211,854","82,046","4,088,500","99,448","167,049","1,209,135","798,565","455,882","885,548","472,873","3,822,003","1,358,421","733,729","695,156","283,445","742,993","697,716","291,421","1,509,392","1,406,799","481,242","1,102,386","1,022,332","302,313",,"3,444,012","3,283,634","1,194,971","3,405,337","3,249,590","1,184,411","210,542","182,757","32,406","28,884","25,363","4,690","108,710","94,486","57,310","1,659","1,659",375,"68,893","47,571","11,969","225,800","186,533","56,700","228,679","167,372","41,663",,(X),(X),(X),(X),,"50,039","35,193","40,104","45,726","61,428","75,811"
Wyoming Total Estimate,,"51,982","8,362","16,981","22,917","3,722","399,796","8,563","16,511","109,092","99,620","47,844","71,812","46,354","374,722","118,166","72,434","68,579","21,130","81,607","74,936","26,364","137,767","130,377","42,005","107,988","100,830","28,667",,"344,457","327,842","105,476","334,800","318,932","104,334","2,166","2,049",961,"6,910","6,132",374,N,N,N,N,N,N,"13,928","10,052","2,968","28,642","25,039","6,431","37,273","29,732","5,314",,(X),(X),(X),(X),,"48,197","28,406","37,396","44,020","54,129","68,506"
Puerto Rico Total Estimate,,"299,015","21,535","85,926","156,931","34,623","2,404,438","282,929","157,638","671,662","289,890","284,600","503,506","214,213","1,963,871","717,719","405,834","386,802","149,037","398,749","361,435","132,177","843,009","722,608","280,916","756,846","493,026","155,589",,"641,461","512,933","187,760","15,194","14,080","8,000","142,795","114,723","34,892","5,107","4,472","1,698","4,528","3,669","1,334",N,N,N,"685,247","561,446","194,729","925,207","766,535","297,306","2,378,710","1,941,020","706,275",,(X),(X),(X),(X),,"21,254","12,646","16,083","19,642","27,445","40,103"
