id,state_id,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
42,42,2010,617272.0,0.165,0.346,0.416,0.073,4242391.0,0.062,0.101,0.335,0.208,0.062,0.146,0.085,814655.0,0.883,0.267,859877.0,0.882,0.261,1707937.0,0.856,0.233,859922.0,0.709,0.163,30386.0,17087.0,24248.0,30385.0,42181.0,52373.0
43,43,2010,2597445.0,0.2,0.302,0.426,0.072,15772122.0,0.097,0.096,0.256,0.228,0.063,0.173,0.086,3607541.0,0.826,0.26,3479592.0,0.814,0.274,6066046.0,0.823,0.27,2618943.0,0.731,0.214,31799.0,17551.0,25536.0,31899.0,49322.0,61591.0
44,44,2010,317969.0,0.144,0.274,0.528,0.053,1584824.0,0.031,0.063,0.245,0.278,0.09,0.199,0.094,449176.0,0.913,0.285,332449.0,0.901,0.315,552399.0,0.917,0.303,250800.0,0.877,0.259,32242.0,21220.0,26724.0,30658.0,41156.0,62085.0
45,45,2010,65257.0,0.09,0.337,0.473,0.1,431042.0,0.03,0.059,0.315,0.176,0.083,0.203,0.133,69728.0,0.935,0.343,77686.0,0.95,0.35,192397.0,0.929,0.349,91231.0,0.816,0.292,31927.0,17769.0,27020.0,30999.0,38534.0,53899.0
46,46,2010,809695.0,0.128,0.304,0.459,0.109,5361301.0,0.055,0.08,0.254,0.201,0.067,0.201,0.142,1084897.0,0.894,0.375,1120016.0,0.895,0.388,2176113.0,0.882,0.347,980275.0,0.763,0.243,39480.0,20392.0,27801.0,35552.0,52876.0,75523.0
47,47,2010,655256.0,0.178,0.297,0.438,0.087,4505657.0,0.041,0.061,0.238,0.255,0.094,0.199,0.111,936043.0,0.892,0.307,911095.0,0.897,0.344,1828141.0,0.919,0.318,830378.0,0.859,0.262,36766.0,19291.0,29611.0,35147.0,50558.0,62865.0
48,48,2010,172543.0,0.162,0.342,0.415,0.081,1294747.0,0.061,0.107,0.416,0.183,0.058,0.109,0.066,217955.0,0.898,0.228,239097.0,0.89,0.202,539089.0,0.855,0.175,298606.0,0.697,0.115,29690.0,18589.0,25595.0,27923.0,39750.0,50661.0
49,49,2010,554544.0,0.133,0.325,0.45,0.093,3800295.0,0.035,0.064,0.333,0.211,0.093,0.174,0.09,717027.0,0.913,0.297,724623.0,0.921,0.314,1579135.0,0.928,0.262,779510.0,0.817,0.189,32717.0,19473.0,27342.0,31798.0,44534.0,59962.0
50,50,2010,56791.0,0.162,0.29,0.478,0.07,370951.0,0.026,0.051,0.302,0.273,0.107,0.157,0.084,76868.0,0.943,0.25,66064.0,0.95,0.251,157833.0,0.939,0.251,70186.0,0.838,0.201,35108.0,23787.0,30173.0,31748.0,44737.0,56550.0
1,1,2011,485274.0,0.177,0.291,0.463,0.069,3193078.0,0.056,0.117,0.309,0.222,0.074,0.139,0.084,609611.0,0.843,0.248,613286.0,0.856,0.247,1296391.0,0.854,0.225,673790.0,0.735,0.173,30910.0,19049.0,25069.0,30318.0,44800.0,54200.0
2,2,2011,77633.0,0.185,0.359,0.402,0.054,456862.0,0.031,0.052,0.281,0.299,0.074,0.169,0.095,106279.0,0.934,0.24,93356.0,0.935,0.305,198860.0,0.931,0.26,58367.0,0.814,0.252,40812.0,22342.0,32173.0,40478.0,50422.0,69222.0
3,3,2011,647258.0,0.19,0.305,0.441,0.064,4211223.0,0.062,0.081,0.246,0.262,0.083,0.171,0.095,866715.0,0.858,0.254,824699.0,0.84,0.275,1596656.0,0.872,0.272,923153.0,0.845,0.258,32165.0,17925.0,24995.0,32066.0,46485.0,57249.0
4,4,2011,283366.0,0.155,0.327,0.455,0.063,1943427.0,0.062,0.1,0.357,0.22,0.058,0.131,0.072,382514.0,0.869,0.227,365721.0,0.873,0.232,766567.0,0.854,0.202,428625.0,0.75,0.159,28700.0,18392.0,24009.0,27926.0,42220.0,56579.0
5,5,2011,3980604.0,0.158,0.288,0.472,0.082,24443872.0,0.103,0.086,0.211,0.221,0.077,0.192,0.111,5404486.0,0.842,0.305,5169975.0,0.8,0.324,9471358.0,0.819,0.305,4398053.0,0.769,0.272,35561.0,18261.0,26941.0,35303.0,52824.0,76253.0
6,6,2011,500909.0,0.159,0.284,0.451,0.105,3387310.0,0.04,0.058,0.224,0.228,0.083,0.233,0.134,744951.0,0.9,0.374,709547.0,0.894,0.395,1357315.0,0.924,0.375,575497.0,0.864,0.305,36435.0,21397.0,28344.0,33581.0,46180.0,60987.0
7,7,2011,332686.0,0.145,0.283,0.446,0.127,2444403.0,0.044,0.065,0.277,0.179,0.073,0.205,0.157,428130.0,0.906,0.392,467003.0,0.916,0.407,1033956.0,0.915,0.37,515314.0,0.807,0.279,42417.0,21965.0,32869.0,38371.0,56878.0,75875.0
8,8,2011,91390.0,0.162,0.274,0.462,0.103,611120.0,0.047,0.083,0.316,0.196,0.07,0.171,0.117,114197.0,0.852,0.315,114001.0,0.903,0.329,249010.0,0.9,0.282,133912.0,0.8,0.244,38386.0,22072.0,31824.0,37279.0,50310.0,66546.0
9,9,2011,1795011.0,0.177,0.302,0.444,0.077,13267581.0,0.056,0.084,0.304,0.208,0.089,0.165,0.093,2328282.0,0.871,0.261,2408924.0,0.883,0.284,5170980.0,0.878,0.264,3359395.0,0.806,0.23,30608.0,17182.0,24452.0,30565.0,41888.0,57025.0
10,10,2011,1018180.0,0.205,0.312,0.409,0.073,6308961.0,0.058,0.098,0.293,0.208,0.067,0.177,0.098,1326493.0,0.853,0.29,1403082.0,0.873,0.317,2503491.0,0.861,0.278,1075895.0,0.751,0.199,31837.0,17318.0,25312.0,30840.0,48405.0,60916.0
11,11,2011,130941.0,0.101,0.381,0.443,0.075,939512.0,0.044,0.05,0.285,0.23,0.1,0.192,0.099,192625.0,0.943,0.286,176023.0,0.946,0.294,367395.0,0.921,0.313,203469.0,0.809,0.253,35763.0,21880.0,29958.0,35088.0,44453.0,56555.0
12,12,2011,158872.0,0.141,0.325,0.478,0.056,998460.0,0.045,0.069,0.275,0.269,0.089,0.175,0.078,206376.0,0.9,0.248,195100.0,0.892,0.282,392698.0,0.904,0.266,204286.0,0.832,0.203,28197.0,17253.0,23915.0,26851.0,37394.0,54951.0
13,13,2011,1251025.0,0.149,0.283,0.446,0.122,8521694.0,0.056,0.072,0.276,0.213,0.073,0.193,0.117,1781187.0,0.896,0.376,1712435.0,0.889,0.356,3385477.0,0.889,0.304,1642595.0,0.793,0.205,36083.0,20592.0,27112.0,32718.0,50498.0,65860.0
14,14,2011,664206.0,0.184,0.309,0.427,0.08,4255459.0,0.042,0.086,0.355,0.209,0.079,0.148,0.082,830830.0,0.875,0.27,834977.0,0.891,0.268,1733160.0,0.897,0.228,856492.0,0.802,0.159,32210.0,18587.0,27070.0,31682.0,44013.0,59897.0
15,15,2011,311252.0,0.122,0.254,0.524,0.099,2027201.0,0.037,0.057,0.331,0.213,0.105,0.177,0.081,386830.0,0.928,0.335,361560.0,0.927,0.302,820621.0,0.927,0.257,458190.0,0.836,0.16,32876.0,21529.0,26876.0,31885.0,42380.0,57381.0
16,16,2011,296731.0,0.137,0.255,0.518,0.091,1852094.0,0.041,0.058,0.279,0.246,0.074,0.197,0.104,374545.0,0.91,0.335,349047.0,0.895,0.338,746543.0,0.919,0.309,381959.0,0.859,0.22,32446.0,21372.0,25818.0,30854.0,42277.0,54985.0
17,17,2011,422007.0,0.158,0.319,0.458,0.065,2922350.0,0.07,0.1,0.341,0.209,0.07,0.123,0.088,564651.0,0.883,0.248,568172.0,0.877,0.245,1195566.0,0.856,0.209,593961.0,0.684,0.145,30628.0,18053.0,25244.0,29425.0,42212.0,52071.0
18,18,2011,482851.0,0.205,0.307,0.422,0.066,2972737.0,0.061,0.114,0.345,0.217,0.052,0.14,0.071,632061.0,0.851,0.239,570119.0,0.858,0.232,1199261.0,0.841,0.204,571296.0,0.729,0.174,31981.0,18760.0,26795.0,31160.0,45660.0,53647.0
19,19,2011,115329.0,0.115,0.311,0.464,0.109,942537.0,0.034,0.057,0.334,0.203,0.089,0.179,0.105,144778.0,0.93,0.312,167184.0,0.945,0.306,413267.0,0.934,0.294,217308.0,0.821,0.229,30912.0,18557.0,25367.0,29205.0,40874.0,52256.0
20,20,2011,566000.0,0.13,0.292,0.458,0.12,3915657.0,0.043,0.069,0.258,0.199,0.063,0.204,0.165,779561.0,0.901,0.389,779861.0,0.909,0.416,1624476.0,0.913,0.37,731759.0,0.802,0.295,45297.0,22922.0,32233.0,41041.0,56853.0,77166.0
21,21,2011,680381.0,0.114,0.266,0.476,0.145,4502048.0,0.05,0.058,0.259,0.164,0.078,0.223,0.168,863319.0,0.921,0.481,867088.0,0.915,0.439,1849732.0,0.909,0.391,921909.0,0.81,0.264,42086.0,22047.0,30947.0,37345.0,53764.0,70327.0
22,22,2011,994778.0,0.151,0.281,0.48,0.087,6588324.0,0.035,0.077,0.308,0.239,0.084,0.157,0.099,1168784.0,0.902,0.285,1244067.0,0.915,0.304,2787603.0,0.91,0.255,1387870.0,0.808,0.191,31895.0,17171.0,24625.0,30229.0,46188.0,64207.0
23,23,2011,506399.0,0.129,0.258,0.502,0.112,3560801.0,0.033,0.047,0.269,0.224,0.103,0.218,0.105,725526.0,0.927,0.381,668881.0,0.936,0.387,1465311.0,0.943,0.313,701083.0,0.851,0.226,37035.0,19598.0,29201.0,34514.0,48777.0,65331.0
