state,median_h_income,poverty_rate,poverty_count,year
Massachusetts,77385,10.5,692943,2017
Michigan,54840,14.1,1373358,2017
Minnesota,68364,9.5,517348,2017
Mississippi,43595,19.9,573717,2017
Missouri,53506,13.4,793001,2017
Montana,53262,12.7,130616,2017
Nebraska,59913,10.7,198984,2017
Nevada,57932,13.3,392857,2017
New Hampshire,73638,7.7,100550,2017
New Jersey,80106,10.0,882132,2017
New Mexico,47086,19.0,388790,2017
New York,64783,14.1,2735578,2017
North Carolina,52797,14.7,1468032,2017
North Dakota,62400,10.2,74057,2017
Ohio,54077,13.9,1575401,2017
Oklahoma,50051,15.8,600911,2017
Oregon,60123,13.2,534846,2017
Pennsylvania,59165,12.5,1548557,2017
Rhode Island,62923,12.3,125208,2017
South Carolina,50675,15.4,750359,2017
South Dakota,56871,12.8,107522,2017
Tennessee,51319,15.0,980394,2017
Texas,59195,14.7,4080377,2017
Utah,68395,9.7,296138,2017
Vermont,58271,10.8,65068,2017
Virginia,71518,10.7,876438,2017
Washington,70942,11.0,799675,2017
West Virginia,43238,18.5,326502,2017
Wisconsin,59300,11.3,640174,2017
Wyoming,61279,10.8,61319,2017
Alabama,49881,16.8,801758,2018
Alaska,74912,11.1,80224,2018
Arizona,59079,14.1,990291,2018
Arkansas,47094,16.8,492306,2018
California,75250,12.8,4972955,2018
Colorado,71949,9.7,540579,2018
Connecticut,76366,10.3,358519,2018
Delaware,65467,12.2,114691,2018
District of Columbia,82533,16.1,107806,2018
Florida,55433,13.7,2854438,2018
Georgia,58634,14.5,1484439,2018
Hawaii,80527,9.0,124400,2018
Idaho,55524,11.7,201804,2018
Illinois,65063,12.1,1509348,2018
Indiana,55725,13.0,844165,2018
Iowa,60071,11.2,342574,2018
Kansas,58150,11.9,336892,2018
Kentucky,50189,16.7,723053,2018
Louisiana,48021,18.7,848005,2018
Maine,55579,11.6,151458,2018
Maryland,83076,9.1,538824,2018
Massachusetts,79817,10.0,668402,2018
Michigan,56640,14.0,1369235,2018
Minnesota,70295,9.6,527445,2018
Mississippi,44740,19.8,571402,2018
Missouri,54412,13.2,785343,2018
Montana,55248,12.9,134185,2018
Nebraska,59724,11.0,205393,2018
Nevada,58740,13.1,391347,2018
New Hampshire,75322,7.6,100076,2018
New Jersey,81777,9.5,831386,2018
New Mexico,47405,18.8,386739,2018
New York,67648,13.7,2603303,2018
North Carolina,53922,14.1,1422154,2018
North Dakota,65250,10.6,77959,2018
