Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
South Dakota Total Estimate,,"84,378","12,554","27,512","35,580","8,732","590,377","14,445","26,568","172,971","118,503","70,944","127,258","59,688","549,364","186,946","110,211","102,409","37,582","112,477","105,674","43,984","209,806","197,087","64,011","157,883","144,194","41,369",,"503,647","476,325","168,082","500,781","473,812","167,245","9,856","8,512","1,864","36,718","30,609","3,771","8,397","6,623","4,685",N,N,N,"7,227","4,991","1,295","24,096","22,018","7,108","17,586","13,486","3,752",,(X),(X),(X),(X),,"42,204","28,754","35,069","40,249","51,375","61,699"
Tennessee Total Estimate,,"623,070","67,350","239,537","241,908","74,275","4,814,533","182,718","311,330","1,502,435","977,239","373,330","924,404","543,077","4,320,485","1,467,481","939,035","877,689","328,682","901,748","819,153","309,222","1,786,396","1,598,565","521,147","1,187,354","1,025,078","308,430",,"3,677,218","3,354,632","1,181,272","3,643,508","3,329,219","1,174,008","706,360","623,198","156,623","11,743","9,286","2,002","82,389","71,641","45,439","3,832","3,684","1,718","92,195","55,939","16,265","240,796","202,105","64,162","211,291","142,019","42,524",,(X),(X),(X),(X),,"41,181","27,481","32,457","39,041","53,286","67,850"
Texas Total Estimate,,"2,846,706","397,381","1,040,301","1,097,853","311,171","19,224,688","1,459,699","1,349,205","4,723,476","3,876,378","1,449,493","4,077,821","2,288,616","16,415,784","6,366,437","4,239,952","3,817,432","1,495,338","4,142,711","3,552,091","1,518,798","6,949,614","5,840,642","2,217,930","3,892,411","3,205,619","1,134,371",,"9,831,705","9,100,652","3,866,951","8,488,078","8,061,666","3,601,337","2,280,783","2,082,595","655,643","146,113","104,518","30,168","1,076,918","954,128","663,488","17,191","15,491","5,153","1,829,462","1,170,212","237,043","4,042,516","2,988,188","907,991","6,819,668","4,803,204","1,233,836",,(X),(X),(X),(X),,"43,802","26,881","32,742","40,333","61,341","77,567"
Utah Total Estimate,,"381,791","42,979","134,017","175,934","28,861","2,010,727","54,245","83,003","445,010","497,176","191,196","484,882","255,215","1,873,479","740,097","485,796","464,057","185,967","467,144","434,303","187,913","669,667","615,960","234,590","388,120","359,159","131,627",,"1,638,673","1,567,016","642,091","1,587,219","1,523,859","629,472","19,335","17,539","5,653","19,793","15,511","3,647","56,580","50,032","25,889","17,109","15,860","3,612","108,125","78,448","16,098","151,112","129,073","43,107","254,587","195,802","49,557",,(X),(X),(X),(X),,"46,555","34,424","36,870","41,461","56,175","81,947"
Vermont Total Estimate,,"66,098","6,004","20,348","30,359","9,387","462,705","7,766","17,461","121,159","72,908","37,790","120,373","85,248","437,478","205,621","76,472","73,809","38,474","78,268","74,810","38,152","174,792","165,025","75,534","133,173","123,834","53,461",,"429,621","407,312","191,099","427,504","405,276","189,708","3,720","3,113","1,329",N,N,N,"7,344","6,134","3,820",N,N,N,"3,086","2,844","1,069","18,177","17,354","8,222","8,573","8,116","4,971",,(X),(X),(X),(X),,"45,731","29,953","38,339","41,332","49,075","67,439"
Virginia Total Estimate,,"817,784","71,350","290,059","342,528","113,847","5,942,672","209,401","302,571","1,420,599","1,069,241","456,400","1,394,875","1,089,585","5,430,700","2,484,460","1,156,787","1,096,174","519,996","1,178,430","1,084,825","554,364","2,200,975","2,013,450","920,960","1,406,480","1,236,251","489,140",,"3,801,169","3,566,724","1,697,129","3,731,162","3,506,289","1,671,869","1,069,176","949,930","295,382","22,789","17,607","4,775","416,293","381,702","272,465","5,017","4,499","1,337","198,895","139,512","47,216","429,333","370,726","166,156","497,830","379,058","145,311",,(X),(X),(X),(X),,"51,330","28,780","35,070","42,361","65,495","92,057"
Washington Total Estimate,,"661,761","84,216","230,302","260,942","86,301","5,401,149","194,034","219,271","1,168,676","1,169,775","544,731","1,287,465","817,197","4,987,844","2,104,662","1,165,183","1,095,352","499,221","1,100,352","1,016,449","469,643","1,883,974","1,719,888","688,249","1,251,640","1,156,155","447,549",,"3,827,747","3,650,975","1,514,488","3,746,246","3,579,372","1,491,998","199,642","184,118","54,027","60,263","49,813","9,657","538,704","483,634","320,054","33,689","29,874","5,701","248,874","164,426","40,636","492,230","425,004","160,099","549,637","396,062","110,532",,(X),(X),(X),(X),,"53,232","32,285","40,493","46,249","72,286","96,132"
West Virginia Total Estimate,,"156,128","17,392","67,383","56,229","15,124","1,265,439","41,029","100,439","495,311","222,751","100,721","179,376","125,812","1,123,971","305,188","201,957","182,707","55,776","222,511","202,477","65,806","472,196","422,786","107,176","368,775","316,001","76,430",,"1,165,934","1,035,812","282,277","1,162,244","1,032,717","281,856","37,570","33,830","5,796","1,776","1,378",102,"10,346","9,242","6,354",N,N,N,"4,972","3,634","1,283","44,350","39,584","9,376","14,866","12,360","3,564",,(X),(X),(X),(X),,"39,449","22,882","31,479","36,032","50,534","64,636"
Wisconsin Total Estimate,,"544,964","58,589","195,194","218,827","72,354","4,076,339","97,955","174,119","1,222,356","794,316","461,115","876,467","450,011","3,804,265","1,326,478","737,899","696,546","277,939","747,903","700,429","282,135","1,536,290","1,434,608","478,360","1,054,247","972,682","288,044",,"3,429,445","3,265,378","1,166,380","3,395,570","3,237,425","1,157,096","213,819","185,338","35,438","27,777","23,822","3,217","107,315","93,356","52,618",N,N,N,"81,027","57,714","16,126","216,520","178,375","52,668","226,049","163,486","38,806",,(X),(X),(X),(X),,"46,322","30,530","36,939","42,701","58,745","70,880"
Wyoming Total Estimate,,"51,926","5,706","19,215","21,811","5,194","395,348","7,224","18,132","107,814","97,615","48,945","73,255","42,363","369,992","115,618","70,511","63,839","20,079","80,122","75,111","25,486","140,893","133,010","40,173","103,822","98,032","29,880",,"342,315","325,602","104,355","333,809","318,488","102,107",N,N,N,"5,779","4,792",756,"3,464","3,314","1,725",N,N,N,"12,085","8,709","1,789","27,926","24,119","5,557","34,494","26,508","5,861",,(X),(X),(X),(X),,"41,898","31,988","36,645","37,208","50,596","70,910"
Puerto Rico Total Estimate,,"316,387","22,575","86,786","176,214","30,812","2,401,409","309,413","179,367","671,940","276,439","280,356","493,356","190,538","1,912,629","683,894","402,204","376,870","148,291","400,607","352,750","137,294","858,112","725,215","259,040","740,486","457,794","139,269",,"674,382","530,996","189,217","11,623","10,827","5,736","152,675","118,174","35,357","4,430","4,128","1,847","5,392","3,727","2,070",N,N,N,"692,779","544,639","180,472","871,667","710,881","274,847","2,381,563","1,894,910","675,456",,(X),(X),(X),(X),,"19,658","10,893","15,567","17,438","25,550","36,122"
