state,year,median_h_income,poverty_rate,poverty_count,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher
Wisconsin,2010,48974,0.132,731564,"554,544",0.133,0.325,0.45,0.09300000000000001,"3,800,295",0.035,0.064,0.33299999999999996,0.21100000000000002,0.09300000000000001,0.174,0.09,"717,027",0.9129999999999999,0.297,"724,623",0.9209999999999999,0.314,"1,579,135",0.9279999999999999,0.262,"779,510",0.8170000000000001,0.18899999999999997
Wyoming,2010,53757,0.114,62636,"56,791",0.162,0.29,0.478,0.07,"370,951",0.026000000000000002,0.051,0.302,0.273,0.107,0.157,0.084,"76,868",0.943,0.25,"66,064",0.95,0.251,"157,833",0.9390000000000001,0.251,"70,186",0.838,0.201
Alabama,2011,41427,0.191,896117,"485,274",0.177,0.29100000000000004,0.46299999999999997,0.069,"3,193,078",0.055999999999999994,0.11699999999999999,0.309,0.222,0.07400000000000001,0.139,0.084,"609,611",0.843,0.248,"613,286",0.856,0.247,"1,296,391",0.8540000000000001,0.225,"673,790",0.735,0.17300000000000001
Alaska,2011,65699,0.108,76021,"77,633",0.185,0.359,0.402,0.054000000000000006,"456,862",0.031,0.052000000000000005,0.281,0.299,0.07400000000000001,0.16899999999999998,0.095,"106,279",0.934,0.24,"93,356",0.935,0.305,"198,860",0.9309999999999999,0.26,"58,367",0.8140000000000001,0.252
Arizona,2011,46710,0.19,1201376,"647,258",0.19,0.305,0.441,0.064,"4,211,223",0.062,0.081,0.24600000000000002,0.262,0.083,0.171,0.095,"866,715",0.858,0.254,"824,699",0.84,0.275,"1,596,656",0.872,0.272,"923,153",0.845,0.258
Arkansas,2011,38889,0.193,550079,"283,366",0.155,0.327,0.455,0.063,"1,943,427",0.062,0.1,0.35700000000000004,0.22,0.057999999999999996,0.131,0.07200000000000001,"382,514",0.8690000000000001,0.22699999999999998,"365,721",0.873,0.23199999999999998,"766,567",0.8540000000000001,0.20199999999999999,"428,625",0.75,0.159
California,2011,57275,0.166,6121726,"3,980,604",0.158,0.28800000000000003,0.47200000000000003,0.08199999999999999,"24,443,872",0.10300000000000001,0.086,0.21100000000000002,0.221,0.077,0.192,0.111,"5,404,486",0.8420000000000001,0.305,"5,169,975",0.8,0.324,"9,471,358",0.8190000000000001,0.305,"4,398,053",0.769,0.272
Colorado,2011,55530,0.134,669267,"500,909",0.159,0.284,0.451,0.105,"3,387,310",0.04,0.057999999999999996,0.22399999999999998,0.228,0.083,0.233,0.134,"744,951",0.9,0.374,"709,547",0.894,0.395,"1,357,315",0.924,0.375,"575,497",0.8640000000000001,0.305
Connecticut,2011,65822,0.108,373284,"332,686",0.145,0.28300000000000003,0.446,0.127,"2,444,403",0.044000000000000004,0.065,0.27699999999999997,0.179,0.073,0.205,0.157,"428,130",0.9059999999999999,0.392,"467,003",0.9159999999999999,0.40700000000000003,"1,033,956",0.915,0.37,"515,314",0.807,0.27899999999999997
Delaware,2011,58159,0.126,111176,"91,390",0.162,0.27399999999999997,0.462,0.10300000000000001,"611,120",0.047,0.083,0.316,0.196,0.07,0.171,0.11699999999999999,"114,197",0.852,0.315,"114,001",0.903,0.32899999999999996,"249,010",0.9,0.282,"133,912",0.8,0.244
Florida,2011,44250,0.17,3178155,"1,795,011",0.177,0.302,0.444,0.077,"13,267,581",0.055999999999999994,0.084,0.304,0.20800000000000002,0.08900000000000001,0.165,0.09300000000000001,"2,328,282",0.871,0.261,"2,408,924",0.883,0.284,"5,170,980",0.878,0.264,"3,359,395",0.8059999999999999,0.23
Georgia,2011,45886,0.192,1836715,"1,018,180",0.205,0.312,0.409,0.073,"6,308,961",0.057999999999999996,0.098,0.293,0.20800000000000002,0.067,0.177,0.098,"1,326,493",0.853,0.29,"1,403,082",0.873,0.317,"2,503,491",0.861,0.278,"1,075,895",0.7509999999999999,0.19899999999999998
Hawaii,2011,62071,0.121,161606,"130,941",0.10099999999999999,0.381,0.44299999999999995,0.075,"939,512",0.044000000000000004,0.05,0.285,0.23,0.1,0.192,0.099,"192,625",0.943,0.28600000000000003,"176,023",0.946,0.294,"367,395",0.9209999999999999,0.313,"203,469",0.809,0.253
Idaho,2011,43345,0.165,256257,"158,872",0.141,0.325,0.478,0.055999999999999994,"998,460",0.045,0.069,0.275,0.26899999999999996,0.08900000000000001,0.175,0.078,"206,376",0.9,0.248,"195,100",0.892,0.282,"392,698",0.904,0.266,"204,286",0.8320000000000001,0.203
Illinois,2011,53271,0.149,1871484,"1,251,025",0.149,0.28300000000000003,0.446,0.122,"8,521,694",0.055999999999999994,0.07200000000000001,0.276,0.213,0.073,0.193,0.11699999999999999,"1,781,187",0.8959999999999999,0.376,"1,712,435",0.889,0.35600000000000004,"3,385,477",0.889,0.304,"1,642,595",0.7929999999999999,0.205
Indiana,2011,46410,0.158,1001053,"664,206",0.184,0.309,0.42700000000000005,0.08,"4,255,459",0.042,0.086,0.355,0.209,0.079,0.14800000000000002,0.08199999999999999,"830,830",0.875,0.27,"834,977",0.8909999999999999,0.268,"1,733,160",0.897,0.228,"856,492",0.802,0.159
Iowa,2011,49545,0.127,376300,"311,252",0.122,0.254,0.524,0.099,"2,027,201",0.037000000000000005,0.057,0.331,0.213,0.105,0.177,0.081,"386,830",0.9279999999999999,0.335,"361,560",0.927,0.302,"820,621",0.927,0.257,"458,190",0.836,0.16
Kansas,2011,48844,0.138,383859,"296,731",0.13699999999999998,0.255,0.518,0.091,"1,852,094",0.040999999999999995,0.057999999999999996,0.27899999999999997,0.24600000000000002,0.07400000000000001,0.19699999999999998,0.10400000000000001,"374,545",0.91,0.335,"349,047",0.895,0.33799999999999997,"746,543",0.919,0.309,"381,959",0.8590000000000001,0.22
Kentucky,2011,41141,0.191,809764,"422,007",0.158,0.319,0.45799999999999996,0.065,"2,922,350",0.07,0.1,0.341,0.209,0.07,0.12300000000000001,0.08800000000000001,"564,651",0.883,0.248,"568,172",0.877,0.245,"1,195,566",0.856,0.209,"593,961",0.684,0.145
Louisiana,2011,41804,0.205,910266,"482,851",0.205,0.307,0.42200000000000004,0.066,"2,972,737",0.061,0.114,0.345,0.217,0.052000000000000005,0.14,0.071,"632,061",0.851,0.239,"570,119",0.858,0.23199999999999998,"1,199,261",0.841,0.204,"571,296",0.7290000000000001,0.174
Maine,2011,46160,0.142,183723,"115,329",0.115,0.311,0.46399999999999997,0.109,"942,537",0.034,0.057,0.33399999999999996,0.203,0.08900000000000001,0.179,0.105,"144,778",0.93,0.312,"167,184",0.945,0.306,"413,267",0.934,0.294,"217,308",0.821,0.22899999999999998
Maryland,2011,70075,0.102,581244,"566,000",0.13,0.292,0.45799999999999996,0.12,"3,915,657",0.043,0.069,0.258,0.19899999999999998,0.063,0.204,0.165,"779,561",0.9009999999999999,0.389,"779,861",0.909,0.41600000000000004,"1,624,476",0.9129999999999999,0.37,"731,759",0.802,0.295
Massachusetts,2011,63126,0.116,740512,"680,381",0.114,0.266,0.47600000000000003,0.145,"4,502,048",0.05,0.057999999999999996,0.259,0.16399999999999998,0.078,0.223,0.168,"863,319",0.9209999999999999,0.48100000000000004,"867,088",0.915,0.439,"1,849,732",0.909,0.391,"921,909",0.81,0.264
Michigan,2011,45931,0.175,1687624,"994,778",0.151,0.281,0.48,0.087,"6,588,324",0.035,0.077,0.308,0.239,0.084,0.157,0.099,"1,168,784",0.902,0.285,"1,244,067",0.915,0.304,"2,787,603",0.91,0.255,"1,387,870",0.8079999999999999,0.191
Minnesota,2011,56944,0.118,617185,"506,399",0.129,0.258,0.502,0.11199999999999999,"3,560,801",0.033,0.047,0.26899999999999996,0.22399999999999998,0.10300000000000001,0.218,0.105,"725,526",0.927,0.381,"668,881",0.9359999999999999,0.387,"1,465,311",0.943,0.313,"701,083",0.851,0.226
Mississippi,2011,36963,0.228,658232,"313,863",0.191,0.299,0.45,0.06,"1,912,708",0.066,0.12300000000000001,0.302,0.22699999999999998,0.083,0.126,0.073,"377,837",0.8370000000000001,0.20600000000000002,"382,042",0.847,0.222,"765,806",0.8270000000000001,0.203,"387,023",0.721,0.16
Missouri,2011,45231,0.158,922103,"588,439",0.152,0.294,0.46299999999999997,0.091,"4,008,554",0.039,0.085,0.314,0.22899999999999998,0.071,0.16399999999999998,0.09699999999999999,"785,188",0.904,0.312,"739,399",0.895,0.3,"1,629,363",0.895,0.26,"854,604",0.797,0.182
Montana,2011,44011,0.152,148183,"98,335",0.12300000000000001,0.34,0.446,0.091,"676,793",0.02,0.057,0.305,0.251,0.084,0.196,0.086,"125,005",0.9359999999999999,0.31,"110,809",0.96,0.33799999999999997,"290,003",0.9329999999999999,0.273,"150,976",0.8640000000000001,0.235
Nebraska,2011,50281,0.129,230003,"185,903",0.126,0.258,0.52,0.096,"1,196,112",0.039,0.051,0.29,0.244,0.096,0.18899999999999997,0.091,"245,845",0.9079999999999999,0.32,"220,770",0.909,0.337,"479,700",0.932,0.281,"249,797",0.87,0.185
Nevada,2011,49099,0.158,423195,"249,259",0.21100000000000002,0.326,0.41100000000000003,0.052000000000000005,"1,810,960",0.064,0.096,0.292,0.252,0.07200000000000001,0.149,0.076,"386,245",0.8290000000000001,0.204,"382,434",0.8220000000000001,0.217,"702,641",0.86,0.239,"339,640",0.83,0.22899999999999998
New Hampshire,2011,62436,0.09,114906,"124,318",0.11,0.309,0.475,0.105,"914,207",0.027999999999999997,0.057999999999999996,0.293,0.192,0.095,0.21,0.124,"146,192",0.924,0.373,"174,290",0.935,0.366,"409,135",0.937,0.342,"184,590",0.8340000000000001,0.256
New Jersey,2011,67574,0.104,897916,"774,117",0.13,0.289,0.45299999999999996,0.129,"6,004,613",0.055999999999999994,0.063,0.294,0.17300000000000001,0.061,0.22,0.133,"1,122,087",0.912,0.402,"1,217,006",0.9,0.406,"2,458,742",0.902,0.36200000000000004,"1,206,778",0.7909999999999999,0.235
