Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Massachusetts Total Estimate,,"700,584","71,420","192,573","315,353","121,238","4,706,644","213,496","245,853","1,184,423","748,705","362,478","1,086,715","864,974",(X),(X),"941,776","881,127","479,197","838,603","770,547","387,501","1,882,039","1,714,171","749,731","1,044,226","881,450","335,260",,"3,847,911","3,558,651","1,660,725","3,621,936","3,391,182","1,611,112","308,859","259,713","70,790","6,876","5,786","2,130","289,797","246,074","167,880",N,N,N,"166,553","106,739","22,034","85,966","69,957","27,978","415,601","286,452","73,751",,(X),(X),(X),(X),,"46,480","23,077","32,480","38,797","57,285","74,405"
Michigan Total Estimate,,"986,405","128,219","284,916","477,521","95,749","6,728,347","201,139","461,761","1,979,472","1,593,413","622,089","1,145,546","724,927",(X),(X),"1,221,558","1,114,078","385,851","1,175,407","1,072,519","378,272","2,760,741","2,529,571","738,421","1,570,641","1,349,279","367,929",,"5,476,399","5,005,405","1,567,878","5,317,387","4,888,431","1,537,619","857,718","727,733","146,180","34,313","29,460","4,729","187,833","169,009","118,646",N,N,N,"66,303","42,383","9,097","103,312","89,264","23,469","242,913","172,737","40,564",,(X),(X),(X),(X),,"35,543","20,106","26,835","31,865","49,839","66,580"
Minnesota Total Estimate,,"505,761","66,536","138,996","235,159","65,070","3,700,935","112,193","155,113","941,170","794,499","413,953","847,584","436,423",(X),(X),"745,711","696,370","303,598","675,937","628,703","270,410","1,474,329","1,390,790","494,051","804,958","717,766","215,948",,"3,241,046","3,069,776","1,156,038","3,157,190","3,011,992","1,139,988","171,319","138,285","32,599","32,977","27,479","4,338","153,777","122,374","66,887",970,897,423,"44,600","24,301","5,728","56,246","50,517","17,994","136,552","88,243","23,844",,(X),(X),(X),(X),,"40,851","22,801","31,311","36,845","51,601","67,260"
Mississippi Total Estimate,,"311,989","49,158","90,111","153,465","19,255","1,952,337","112,812","209,997","605,790","438,004","179,135","253,036","153,563",(X),(X),"373,921","327,020","86,420","385,487","332,827","85,720","751,968","631,518","147,914","440,961","338,163","86,545",,"1,221,054","1,066,418","296,973","1,192,659","1,047,395","292,606","674,020","521,974","96,640","6,715","5,102",579,"20,830","16,757","8,314",N,N,N,"15,645","7,126",649,"13,239","11,317","3,218","46,689","28,023","5,891",,(X),(X),(X),(X),,"31,090","21,833","26,411","30,679","39,960","51,111"
Missouri Total Estimate,,"593,894","82,094","178,672","276,496","56,632","4,097,212","145,571","308,053","1,269,953","915,960","316,815","706,922","433,938",(X),(X),"796,209","726,046","259,997","733,744","665,921","244,004","1,616,311","1,450,766","430,816","950,948","800,855","206,043",,"3,475,313","3,121,576","997,901","3,398,735","3,066,492","982,462","435,414","371,497","74,471","18,875","16,170","3,196","71,625","61,426","42,624","2,741","2,126",551,"34,466","19,761","4,680","58,778","51,032","17,437","119,961","82,724","22,336",,(X),(X),(X),(X),,"35,129","21,161","27,375","32,114","45,607","57,209"
Montana Total Estimate,,"100,393","16,220","35,650","42,521","6,002","706,329","14,391","31,182","222,399","161,387","60,796","144,135","72,039",(X),(X),"128,657","120,750","42,354","118,633","112,958","43,277","280,108","264,068","78,686","178,931","162,980","51,857",,"646,117","608,078","204,566","633,603","597,937","202,714","2,764","2,626",905,"35,540","30,210","3,961","5,618","5,201","3,086",N,N,N,"4,084","3,665",441,"11,769","10,539","3,161","18,587","15,638","2,852",,(X),(X),(X),(X),,"31,848","17,549","26,806","30,429","39,292","52,284"
Nebraska Total Estimate,,"192,977","22,584","50,520","95,740","24,133","1,232,583","47,858","62,768","331,868","292,746","125,055","244,556","127,732",(X),(X),"252,652","232,501","87,702","232,446","208,517","83,941","468,794","434,141","137,209","278,691","246,798","63,436",,"1,116,048","1,027,175","343,184","1,044,648","988,577","335,365","50,500","44,252","11,198","9,494","7,792",601,"25,008","19,763","12,674",N,N,N,"16,240","10,368","1,351","14,547","12,060","3,280","92,018","51,801","9,361",,(X),(X),(X),(X),,"36,403","22,266","29,307","34,836","46,833","60,470"
Nevada Total Estimate,,"254,123","47,331","88,796","105,235","12,761","1,968,167","125,701","157,660","549,151","512,364","159,610","304,948","158,733",(X),(X),"411,910","359,446","88,576","388,122","325,999","96,635","746,023","636,633","173,354","422,112","362,728","105,116",,"1,390,177","1,214,102","346,194","1,119,394","1,041,540","322,096","158,431","139,699","26,510","23,163","18,795","1,947","176,194","159,312","64,247","11,434","10,334",957,"149,405","89,526","10,231","59,363","53,038","13,595","443,701","279,430","36,882",,(X),(X),(X),(X),,"33,755","25,316","30,254","33,253","45,977","62,155"
New Hampshire Total Estimate,,"130,063","14,427","41,363","58,383","15,890","937,214","18,249","46,392","267,078","179,983","91,199","205,513","128,800",(X),(X),"155,315","147,196","63,277","156,414","147,069","61,992","407,128","382,740","141,013","218,357","195,568","68,031",,"889,172","829,647","313,608","870,278","815,112","308,651","11,872","10,608","2,486","1,092","1,036",89,"21,763","19,418","14,713",N,N,N,"3,154","2,890",987,"9,975","8,846","2,323","23,341","18,470","6,124",,(X),(X),(X),(X),,"42,178","29,179","33,726","40,122","51,426","67,491"
New Jersey Total Estimate,,"792,764","92,194","215,678","364,141","120,751","6,166,384","319,454","355,305","1,757,377","1,024,098","392,077","1,437,307","880,766",(X),(X),"1,151,980","1,060,132","502,996","1,168,897","1,057,841","506,306","2,502,556","2,269,355","931,363","1,342,951","1,104,297","377,408",,"4,314,800","3,911,909","1,659,676","3,677,456","3,441,892","1,534,397","785,776","689,784","171,216","9,993","7,221","2,121","592,375","545,959","400,310",N,N,N,"361,513","250,908","51,625","99,657","84,006","32,213","1,061,429","769,665","189,452",,(X),(X),(X),(X),,"45,704","22,278","31,719","39,832","60,935","83,032"
New Mexico Total Estimate,,"208,145","37,642","62,173","98,641","9,689","1,377,548","92,820","118,788","369,807","325,356","106,315","198,116","166,346",(X),(X),"272,426","231,232","59,093","246,672","207,735","60,654","527,856","455,314","145,729","330,594","271,659","98,986",,"1,050,391","910,934","310,782","617,719","584,272","246,043","28,411","25,655","9,019","114,569","90,369","11,195","20,673","17,506","9,160",N,N,N,"132,339","94,093","15,457","30,507","26,794","8,849","589,076","441,658","84,598",,(X),(X),(X),(X),,"31,109","18,599","26,477","29,996","42,423","57,560"
New York Total Estimate,,"1,941,151","231,056","508,223","896,102","305,770","13,641,473","903,295","1,012,572","3,615,023","2,177,053","1,155,067","2,727,078","2,051,385",(X),(X),"2,875,580","2,582,494","1,267,773","2,498,772","2,189,035","991,369","5,304,674","4,608,622","1,720,202","2,962,447","2,345,455","799,119",,"9,050,590","8,194,795","3,509,467","8,044,662","7,472,297","3,296,251","2,016,296","1,676,477","469,975","45,835","32,782","9,002","1,181,113","923,184","551,376","4,384","3,726",991,"1,073,742","680,024","148,597","269,513","214,618","89,055","2,276,885","1,540,260","401,147",,(X),(X),(X),(X),,"40,996","20,814","30,614","36,736","55,360","71,684"
North Carolina Total Estimate,,"992,108","141,265","305,851","451,025","93,967","6,762,644","340,573","568,846","1,785,510","1,452,845","623,813","1,277,412","713,645",(X),(X),"1,298,130","1,143,191","416,402","1,312,886","1,149,848","435,224","2,636,083","2,330,457","770,394","1,515,545","1,229,729","369,037",,"4,880,855","4,320,272","1,571,634","4,607,089","4,160,473","1,528,294","1,386,316","1,170,746","270,670","76,698","57,015","9,348","177,423","151,583","97,596","2,866","2,178",275,"152,081","76,506","15,372","86,405","74,925","26,162","450,020","254,204","60,779",,(X),(X),(X),(X),,"33,096","20,359","26,632","31,060","46,171","59,243"
