state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Hawaii ,2022,"119,487","10,935","51,519","42,119","14,914","1,023,843","32,373","40,369","273,910","200,539","113,948","226,124","136,580","190,091","179,314","66,098","192,131","181,699","75,147","346,967","325,240","123,644","294,654","264,848","97,815","50,993","29,829","41,441","46,737","61,880","79,653"
Idaho ,2022,"194,235","25,593","71,675","80,888","16,079","1,280,178","44,365","57,919","333,105","305,642","125,979","274,409","138,759","250,343","234,564","84,083","256,103","234,506","91,142","444,202","402,118","136,910","329,530","306,706","101,033","43,844","35,192","37,406","40,546","54,796","72,869"
Illinois ,2022,"1,172,987","124,779","411,110","444,301","192,797","8,692,839","401,489","432,890","2,187,110","1,664,034","731,898","1,952,990","1,322,428","1,689,818","1,598,353","758,624","1,673,268","1,525,068","742,344","3,164,813","2,825,058","1,124,235","2,164,940","1,909,981","650,215","51,922","31,826","38,766","44,169","68,489","84,140"
Indiana ,2022,"679,203","98,241","256,463","249,196","75,303","4,584,460","163,963","285,425","1,472,890","880,898","424,272","869,217","487,795","886,951","802,576","302,136","866,145","780,543","305,841","1,673,938","1,515,770","472,617","1,157,426","1,036,183","276,418","46,623","32,019","38,553","44,403","58,609","73,559"
Iowa ,2022,"324,258","33,490","101,453","149,140","40,175","2,159,511","53,334","87,687","637,844","424,541","258,299","463,740","234,066","401,666","376,339","146,987","405,073","376,887","159,885","763,893","714,403","236,387","588,879","550,861","154,547","48,569","32,968","39,439","45,837","58,561","73,926"
Kansas ,2022,"304,047","35,396","104,924","130,090","33,637","1,944,891","69,198","84,983","491,928","429,452","176,787","426,910","265,633","377,319","352,967","144,309","382,629","351,312","151,774","678,601","618,735","238,781","506,342","467,696","157,679","47,295","32,838","36,659","42,026","58,583","70,216"
Kentucky ,2022,"415,931","49,978","171,393","145,880","48,680","3,091,499","132,132","207,927","1,002,671","615,118","272,315","508,620","352,716","587,159","543,582","190,046","569,323","516,328","189,398","1,143,904","1,023,399","304,341","791,113","668,131","177,551","43,032","27,314","35,301","40,667","55,682","67,351"
Louisiana ,2022,"435,260","60,146","160,986","176,961","37,167","3,096,121","128,792","264,491","1,006,184","635,109","221,439","525,044","315,062","592,066","539,647","182,181","611,300","539,909","194,091","1,112,694","960,398","278,323","780,061","662,884","185,511","43,207","25,977","33,568","40,916","55,685","65,857"
Maine ,2022,"109,708","9,705","39,802","45,073","15,128","1,030,141","17,176","37,992","310,778","182,869","109,768","229,764","141,794","165,876","158,487","63,369","169,999","162,572","73,348","381,373","362,077","124,524","312,893","291,837","110,317","45,966","31,011","36,375","43,898","53,866","69,390"
Maryland ,2022,"531,713","61,251","179,698","200,114","90,650","4,286,216","166,900","201,017","1,009,588","735,131","294,875","996,167","882,538","804,952","756,304","370,204","840,212","765,924","408,094","1,598,273","1,460,600","703,152","1,042,779","935,471","397,255","61,166","33,805","40,888","50,548","76,711","99,484"
