Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
South Dakota Total Estimate,,"84,922","12,103","25,306","38,299","9,214","582,850","16,315","28,842","180,511","115,946","70,838","117,943","52,455","537,693","170,398","116,300","107,821","40,289","105,167","98,509","36,096","215,025","199,493","56,508","146,358","131,870","37,505",,"512,733","482,326","158,079","501,702","474,990","156,385","9,869","7,573","1,189","39,474","31,051","3,777","9,233","7,300","3,961",N,N,N,"2,942","1,661",460,"8,560","7,743","2,893","16,245","10,834","2,365",,(X),(X),(X),(X),,"36,836","24,899","31,037","35,984","45,177","56,641"
Tennessee Total Estimate,,"619,812","76,729","215,102","264,531","63,450","4,640,823","206,601","358,348","1,477,132","975,251","348,066","801,616","473,809","4,075,874","1,275,425","914,783","842,338","286,898","846,438","758,533","266,300","1,774,805","1,567,041","468,194","1,104,797","907,962","254,033",,"3,711,232","3,290,278","1,056,251","3,588,270","3,208,101","1,031,855","723,971","620,190","147,220","14,553","11,855","2,145","81,021","69,113","43,228",N,N,N,"51,236","31,425","7,579","55,786","50,327","18,236","182,172","118,380","32,290",,(X),(X),(X),(X),,"36,410","22,122","30,074","33,760","48,256","61,543"
Texas Total Estimate,,"2,825,264","407,231","967,913","1,193,882","256,238","18,477,097","1,478,739","1,485,230","4,627,856","3,949,496","1,334,999","3,627,047","1,973,730","15,513,128","5,600,777","4,181,960","3,727,676","1,312,561","3,910,623","3,294,253","1,294,156","6,784,915","5,611,068","2,007,952","3,599,599","2,880,131","986,108",,"13,801,242","11,640,962","4,203,417","8,620,655","8,126,931","3,386,967","2,230,935","2,008,280","558,310","94,388","75,686","20,891","979,980","861,643","587,196","13,138","11,775","3,029","1,024,214","617,164","115,045","333,200","297,618","112,889","6,392,830","4,280,442","970,825",,(X),(X),(X),(X),,"39,909","24,047","30,804","37,027","55,437","71,167"
Utah Total Estimate,,"357,372","40,749","110,825","180,457","25,341","1,871,902","47,361","94,721","423,407","462,160","191,808","427,561","224,884","1,729,820","652,445","463,344","431,335","158,170","437,953","401,520","167,713","619,308","572,452","208,897","351,297","324,513","117,665",,"1,638,423","1,540,783","594,106","1,513,080","1,444,302","570,157","18,798","16,389","3,545","19,804","16,150","2,668","52,585","46,948","26,082","16,825","15,584","3,429","89,194","60,008","11,485","36,273","33,958","11,130","225,245","164,880","36,684",,(X),(X),(X),(X),,"41,127","27,432","33,406","37,148","49,238","72,603"
Vermont Total Estimate,,"64,948","4,987","22,568","28,631","8,762","445,824","8,286","20,617","127,349","78,850","38,133","103,068","69,521","416,921","172,589","75,058","72,485","34,574","70,113","66,215","30,071","176,778","166,020","64,297","123,875","112,201","43,647",,"424,390","397,871","161,585","418,883","392,838","159,244","4,492","4,126","1,811",N,N,N,"7,306","6,138","4,678",N,N,N,"1,487","1,368",736,"6,630","5,964","3,249","7,156","6,518","2,930",,(X),(X),(X),(X),,"39,521","29,376","31,453","36,907","43,198","60,524"
Virginia Total Estimate,,"826,038","85,714","265,174","363,726","111,424","5,822,007","229,799","358,586","1,398,061","1,091,538","453,566","1,296,041","994,416","5,233,622","2,290,457","1,170,188","1,093,068","486,362","1,114,566","1,018,421","505,985","2,219,028","2,006,131","863,494","1,318,225","1,116,002","434,616",,"4,064,370","3,722,794","1,708,002","3,771,260","3,503,222","1,624,541","1,092,597","942,104","262,731","14,714","12,522","3,667","389,784","353,213","242,886","3,622","3,436","1,298","119,016","75,773","19,146","137,904","123,780","52,727","450,985","325,722","112,365",,(X),(X),(X),(X),,"45,865","24,900","31,831","39,440","60,105","82,600"
Washington Total Estimate,,"658,589","86,292","206,783","288,532","76,982","5,215,063","179,951","257,533","1,133,822","1,197,203","533,450","1,187,508","725,596","4,777,579","1,913,104","1,153,369","1,067,962","453,954","1,006,328","909,625","410,935","1,891,379","1,731,724","652,115","1,163,987","1,068,268","396,100",,"4,064,524","3,802,350","1,495,674","3,795,367","3,613,887","1,442,931","185,821","167,426","49,772","63,841","54,008","10,057","483,543","433,340","262,428","34,297","29,634","5,367","186,160","107,443","19,713","196,877","183,378","70,093","493,532","328,378","80,473",,(X),(X),(X),(X),,"46,329","28,613","35,865","40,755","61,135","80,520"
West Virginia Total Estimate,,"161,826","21,099","60,694","65,502","14,531","1,280,781","50,504","106,081","508,339","246,501","96,253","163,614","109,489","1,124,196","273,103","209,002","192,401","56,349","218,803","200,156","50,028","491,760","433,772","100,301","361,216","297,867","66,425",,"1,207,219","1,058,274","256,360","1,196,662","1,049,618","254,291","46,436","42,130","6,873",N,N,N,"9,458","9,078","5,906",N,N,N,"2,923","2,086",423,"12,276","10,637","2,953","14,498","11,491","2,933",,(X),(X),(X),(X),,"33,375","24,872","30,250","31,250","41,804","55,120"
Wisconsin Total Estimate,,"549,441","59,092","172,028","250,259","68,062","3,992,022","108,021","207,198","1,222,475","817,650","438,602","775,533","422,543","3,676,803","1,198,076","735,765","688,245","258,714","706,676","656,723","253,274","1,563,098","1,443,656","443,342","986,483","888,179","242,746",,"3,524,762","3,296,823","1,094,838","3,396,952","3,201,288","1,071,202","214,457","181,332","30,974","33,193","29,261","6,286","99,138","82,240","44,593","1,125",769,292,"66,414","39,603","5,340","52,933","46,775","15,753","205,592","144,221","31,099",,(X),(X),(X),(X),,"41,273","28,345","32,708","38,747","51,879","65,974"
Wyoming Total Estimate,,"51,505","8,383","18,836","20,331","3,955","393,136","7,237","19,072","113,351","103,804","44,089","66,449","39,134","366,827","105,583","77,254","72,189","21,194","72,405","67,651","22,916","146,920","139,529","37,502","96,557","87,458","23,971",,"363,832","340,604","99,097","338,739","320,075","96,235","3,042","2,997",830,"8,443","7,567",924,"4,809","4,692","3,475",N,N,N,"5,310","4,327",364,"6,649","5,790",893,"32,772","26,776","3,237",,(X),(X),(X),(X),,"40,159","25,838","35,160","35,766","47,980","57,555"
Puerto Rico Total Estimate,,"313,113","28,022","84,923","169,807","30,361","2,288,030","336,242","178,663","644,702","276,042","241,678","430,692","180,011","1,773,125","610,703","381,445","348,212","124,799","396,979","349,653","131,967","848,390","696,064","237,505","661,216","379,196","116,432",,"1,495,902","1,174,550","427,933","23,562","20,340","9,102","292,690","222,849","62,384","3,395","2,174",894,"3,877","3,175","1,284",N,N,N,"383,886","288,735","90,554","108,056","81,418","27,618","2,256,264","1,745,822","599,107",,(X),(X),(X),(X),,"18,308","10,347","14,767","16,979","24,570","33,911"
