Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Maryland Total Estimate,,"529,535","62,629","161,982","219,949","84,975","4,183,858","168,321","233,831","1,030,636","753,547","287,293","911,781","798,449","3,781,706","1,710,230","820,575","764,880","355,153","786,924","706,498","357,522","1,616,472","1,479,900","655,326","959,887","830,428","342,229",,"2,385,477","2,215,085","1,085,525","2,223,960","2,093,186","1,035,086","1,241,353","1,122,972","382,427","14,328","11,345","3,739","277,535","247,948","175,597",N,N,N,"172,165","97,886","22,072","91,388","85,261","40,174","358,740","241,003","78,756",,(X),(X),(X),(X),,"52,011","30,300","36,700","44,022","65,193","89,066"
Massachusetts Total Estimate,,"690,150","63,372","186,819","305,223","134,736","4,850,576","203,412","217,529","1,158,066","729,016","360,810","1,197,208","984,535","4,429,635","2,181,743","992,607","936,881","538,922","849,654","789,868","435,178","1,836,022","1,683,766","792,522","1,172,293","1,019,120","415,121",,"3,865,466","3,612,099","1,797,419","3,601,315","3,413,667","1,736,002","350,938","300,736","98,103","12,808","9,362","2,617","326,204","281,485","206,273",N,N,N,"180,134","129,421","30,608","113,285","94,901","45,924","486,528","356,159","101,234",,(X),(X),(X),(X),,"52,470","30,693","39,463","42,066","65,373","85,717"
Michigan Total Estimate,,"949,408","120,199","308,027","411,141","110,041","6,894,627","186,035","410,252","2,005,981","1,572,770","648,794","1,252,685","818,110","6,298,340","2,070,795","1,302,017","1,208,653","442,139","1,174,029","1,072,644","409,240","2,652,172","2,443,127","769,145","1,766,409","1,573,916","450,271",,"5,564,561","5,135,124","1,718,035","5,377,567","4,989,640","1,674,552","889,006","781,709","160,327","38,741","33,955","4,527","218,309","196,139","141,371",N,N,N,"64,422","43,882","10,661","118,032","106,331","35,383","273,449","206,632","59,009",,(X),(X),(X),(X),,"40,450","23,192","31,028","36,272","54,634","71,623"
Minnesota Total Estimate,,"489,751","59,209","144,744","211,729","74,069","3,847,212","103,730","141,960","939,997","785,721","442,578","942,830","490,396","3,601,522","1,433,226","765,578","724,692","330,070","730,399","687,235","317,075","1,429,744","1,347,176","511,605","921,491","842,419","274,476",,"3,298,386","3,152,302","1,269,097","3,208,417","3,081,399","1,244,786","207,288","170,209","45,067","34,650","28,957","5,127","180,643","147,277","83,282",N,N,N,"57,270","37,887","9,594","67,207","63,325","20,984","158,254","118,706","36,057",,(X),(X),(X),(X),,"47,050","28,327","35,337","41,858","60,316","75,925"
Mississippi Total Estimate,,"298,065","44,711","84,574","148,517","20,263","1,979,664","91,377","199,540","598,609","440,939","207,448","270,712","171,039","1,688,747","441,751","368,227","325,988","83,989","379,610","332,282","88,298","745,023","643,533","164,492","486,804","386,944","104,972",,"1,217,710","1,075,570","314,215","1,190,544","1,055,423","310,244","702,026","567,525","111,977","8,424","6,389",772,"20,681","17,398","8,558",N,N,N,"14,862","7,936","1,841","15,831","13,799","4,388","46,120","31,263","5,453",,(X),(X),(X),(X),,"32,574","20,764","27,158","31,459","44,148","56,208"
Missouri Total Estimate,,"558,571","63,265","188,594","241,357","65,355","4,206,162","122,379","269,436","1,308,859","900,486","333,721","775,808","495,473","3,814,347","1,271,281","823,722","767,318","292,534","756,709","695,932","269,005","1,567,788","1,423,845","455,524","1,057,943","927,252","254,218",,"3,537,955","3,231,584","1,098,411","3,449,298","3,160,430","1,074,478","450,283","395,226","87,814","18,101","15,988","2,787","87,803","78,423","53,848","4,114","3,260",694,"41,151","30,148","7,231","66,755","59,718","20,496","138,178","107,469","31,595",,(X),(X),(X),(X),,"40,078","24,831","31,297","36,127","51,217","63,368"
Montana Total Estimate,,"100,304","14,052","35,316","41,431","9,505","741,950","12,087","30,595","211,079","169,641","69,400","171,309","77,839","699,268","249,148","133,119","125,260","49,952","132,472","125,917","52,310","268,450","255,921","84,021","207,909","192,170","62,865",,"672,576","637,665","230,862","658,762","625,634","227,443","2,977","2,515","1,261","37,153","32,511","5,650","6,867","6,396","3,293",N,N,N,"5,369","4,196","1,481","16,804","15,849","6,601","22,102","18,714","5,923",,(X),(X),(X),(X),,"36,953","27,804","30,843","33,040","42,150","58,287"
Nebraska Total Estimate,,"187,542","17,267","54,485","88,816","26,974","1,271,770","43,627","57,645","326,389","280,333","141,189","277,159","145,428","1,170,498","422,587","257,931","241,022","101,570","243,052","224,543","100,959","458,492","419,062","140,843","312,295","285,871","79,215",,"1,130,659","1,057,326","387,792","1,055,888","1,010,407","377,210","54,590","46,584","11,824","10,910","9,098","1,161","30,283","23,469","14,277",N,N,N,"26,006","15,784","1,994","18,136","17,197","5,518","106,780","67,527","14,344",,(X),(X),(X),(X),,"41,488","30,298","32,174","38,209","50,779","61,853"
Nevada Total Estimate,,"252,953","34,329","106,726","95,359","16,539","2,136,466","109,903","171,012","593,417","525,746","187,469","355,837","193,082","1,855,551","548,919","449,055","398,176","108,693","410,321","346,105","110,524","778,871","670,183","193,913","498,219","441,087","135,789",,"1,444,872","1,287,813","388,130","1,148,711","1,082,331","353,173","192,799","174,202","35,014","28,056","21,275","4,156","198,870","180,395","85,411","14,368","12,640","2,810","190,619","119,616","16,728","66,882","59,610","16,670","512,330","343,491","54,473",,(X),(X),(X),(X),,"39,505","29,609","32,879","40,057","50,293","66,105"
New Hampshire Total Estimate,,"123,941","14,015","39,725","54,770","15,431","979,750","19,331","46,341","275,105","174,078","96,658","224,636","143,601","914,078","368,237","170,730","162,068","68,972","158,985","150,149","70,757","396,888","371,635","140,684","253,147","230,226","87,824",,"919,746","860,623","340,736","897,818","843,448","335,269","13,726","11,797","5,071",N,N,N,"25,955","23,775","16,719",N,N,N,"5,977","5,146","1,088","12,804","11,371","4,104","29,638","23,318","7,396",,(X),(X),(X),(X),,"47,392","30,119","37,820","42,368","60,544","71,884"
