Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Tennessee Total Estimate,,"619,279","76,587","219,736","263,904","59,052","4,588,453","200,536","359,348","1,488,080","953,734","332,593","790,840","463,322",(X),(X),"905,358","834,732","292,448","841,848","755,269","264,394","1,770,847","1,558,566","452,090","1,070,400","880,002","245,230",,"3,682,954","3,254,886","1,039,984","3,558,105","3,172,091","1,018,581","710,141","618,424","142,633","11,879","10,196","3,173","82,433","72,031","47,521","4,385","4,006",758,"46,031","23,347","5,090","50,630","45,679","15,003","176,098","110,059","26,844",,(X),(X),(X),(X),,"35,588","21,842","28,641","33,632","46,779","60,242"
Texas Total Estimate,,"2,790,087","417,459","926,602","1,205,734","240,292","18,149,346","1,473,004","1,496,019","4,552,676","3,932,201","1,323,957","3,510,311","1,861,178",(X),(X),"4,122,739","3,640,816","1,276,751","3,833,039","3,193,168","1,209,407","6,728,076","5,592,587","1,949,572","3,465,492","2,753,752","935,759",,"13,642,801","11,453,425","4,069,206","8,580,069","8,066,539","3,308,595","2,156,713","1,929,416","522,444","84,855","69,087","17,362","929,639","822,228","550,525","15,443","13,740","3,205","1,004,465","615,083","110,638","315,430","277,344","98,109","6,230,377","4,124,449","901,164",,(X),(X),(X),(X),,"38,425","22,860","30,398","36,452","54,211","70,427"
Utah Total Estimate,,"349,704","35,852","110,535","180,021","23,296","1,827,035","50,122","93,413","408,078","469,981","172,999","416,804","215,638",(X),(X),"453,438","422,012","155,537","424,179","391,323","163,284","614,223","561,893","206,258","335,195","308,272","107,363",,"1,600,310","1,508,625","576,293","1,485,935","1,420,826","554,733","19,072","16,467","6,086","18,255","14,107","3,134","49,406","44,128","25,451","15,297","14,332","2,274","93,728","57,691","8,353","30,967","28,150","10,851","215,503","151,108","30,966",,(X),(X),(X),(X),,"38,828","27,134","31,280","34,534","47,092","70,156"
Vermont Total Estimate,,"66,635","6,715","22,479","29,435","8,006","439,267","9,646","22,774","127,426","73,895","37,360","98,774","69,392",(X),(X),"73,864","68,936","29,451","69,237","64,487","29,420","179,016","167,919","65,714","117,150","105,505","43,581",,"419,964","391,077","160,756","415,798","387,594","158,861","3,755","3,369","1,393","1,903","1,453",34,"6,906","4,632","2,731",N,N,N,N,N,N,"5,735","5,385","2,722","5,641","4,819","2,608",,(X),(X),(X),(X),,"37,444","25,372","30,991","35,381","40,592","58,628"
Virginia Total Estimate,,"822,718","79,532","253,857","379,272","110,057","5,779,221","240,260","353,117","1,396,487","1,095,931","456,210","1,270,190","967,026",(X),(X),"1,165,166","1,084,730","487,047","1,107,730","1,008,786","482,964","2,234,721","2,020,869","855,674","1,271,604","1,071,459","411,531",,"4,045,095","3,696,458","1,659,583","3,769,493","3,492,422","1,583,639","1,074,928","926,340","266,317","19,291","15,639","4,343","382,715","349,527","234,081","2,522","2,294",671,"123,051","77,777","21,800","131,619","117,809","50,421","439,050","312,476","109,133",,(X),(X),(X),(X),,"44,823","24,777","31,165","37,428","58,191","80,946"
Washington Total Estimate,,"657,042","91,816","206,590","285,228","73,408","5,101,968","189,334","254,629","1,128,284","1,203,615","514,987","1,130,392","680,727",(X),(X),"1,105,343","1,022,222","419,137","977,367","883,029","380,595","1,901,499","1,743,355","647,388","1,117,759","1,009,399","363,999",,"4,012,319","3,749,015","1,435,792","3,755,569","3,565,388","1,386,787","177,786","160,946","45,833","56,020","45,469","8,479","458,135","403,922","236,986","30,833","28,677","4,193","182,329","98,905","20,035","184,546","171,071","59,801","474,071","311,860","76,043",,(X),(X),(X),(X),,"45,115","25,668","34,196","39,947","59,662","76,407"
West Virginia Total Estimate,,"163,104","20,272","64,420","67,419","10,993","1,279,350","58,192","107,069","526,652","238,487","90,494","156,378","102,078",(X),(X),"208,597","190,618","51,804","220,633","201,542","50,638","499,548","439,399","96,239","350,572","282,530","59,775",,"1,208,741","1,052,070","242,483","1,200,372","1,045,115","240,132","45,920","41,338","7,092",N,N,N,"9,116","7,794","5,082",N,N,N,"4,646","3,704","1,230","8,905","7,762","2,425","12,328","10,111","3,009",,(X),(X),(X),(X),,"32,951","20,106","27,296","32,200","43,516","53,919"
Wisconsin Total Estimate,,"557,891","60,439","182,070","254,218","61,164","3,958,231","101,506","200,465","1,214,914","805,492","433,324","782,676","419,854",(X),(X),"727,114","684,857","264,889","698,926","649,337","247,683","1,576,007","1,468,663","452,369","956,184","853,403","237,589",,"3,498,535","3,279,332","1,098,256","3,379,845","3,191,795","1,076,187","212,464","178,019","30,506","31,960","27,566","4,116","92,836","79,612","47,879",N,N,N,"69,107","42,744","6,559","51,014","46,839","15,086","197,858","138,378","29,482",,(X),(X),(X),(X),,"40,653","26,564","32,020","37,359","51,162","65,006"
Wyoming Total Estimate,,"53,553","7,453","20,471","22,127","3,502","387,700","7,704","19,649","114,739","98,171","40,340","67,312","39,785",(X),(X),"79,822","74,748","21,642","70,601","64,822","21,466","146,840","137,228","39,259","90,437","83,549","24,730",,"361,360","337,803","101,550","339,033","320,733","98,547",N,N,N,"7,937","7,006",986,"3,249","3,092","1,727",N,N,N,"6,050","3,785",556,"5,869","5,597","1,667","31,371","23,657","4,451",,(X),(X),(X),(X),,"39,090","31,014","31,147","36,220","47,546","58,518"
Puerto Rico Total Estimate,,"336,708","32,877","94,743","180,862","28,226","2,343,675","370,702","188,871","653,789","285,018","242,776","428,558","173,961",(X),(X),"396,657","357,185","126,032","427,844","374,705","132,200","860,419","694,244","239,815","658,755","357,968","104,472",,"1,563,207","1,207,102","429,665","16,689","14,372","6,885","288,329","213,758","60,506","6,688","5,518","1,213",N,N,N,N,N,N,"361,096","260,091","80,161","120,687","94,433","30,473","2,320,692","1,764,329","593,710",,(X),(X),(X),(X),,"18,282","10,116","14,489","17,035","24,330","35,433"
