state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
New Mexico ,2022,204740.0,0.146,0.401,0.377,0.076,1453129.0,0.05,0.07,0.257,0.227,0.091,0.169,0.135,274314.0,0.919,0.274,275394.0,0.887,0.321,498637.0,0.859,0.303,404784.0,0.875,0.316,1.0,26396.0,31961.0,39701.0,55322.0,73105.0
New York ,2022,1803672.0,0.095,0.303,0.4,0.203,13892241.0,0.06,0.061,0.246,0.145,0.088,0.223,0.177,2762250.0,0.925,0.503,2536794.0,0.895,0.46,5028601.0,0.872,0.369,3564596.0,0.842,0.322,1.0,29259.0,37377.0,46298.0,71567.0,87776.0
North Carolina ,2022,1033925.0,0.111,0.348,0.41,0.131,7372120.0,0.037,0.061,0.249,0.193,0.101,0.228,0.132,1420429.0,0.926,0.391,1376684.0,0.901,0.405,2708393.0,0.904,0.354,1866614.0,0.882,0.308,1.0,30324.0,35269.0,41354.0,59713.0,76062.0
North Dakota ,2022,83510.0,0.082,0.273,0.48,0.166,514786.0,0.026,0.035,0.256,0.222,0.142,0.223,0.095,112725.0,0.943,0.387,106486.0,0.933,0.338,165282.0,0.958,0.308,130293.0,0.915,0.255,1.0,41762.0,39250.0,47258.0,56830.0,71211.0
Ohio ,2022,1066973.0,0.124,0.387,0.367,0.123,8130929.0,0.026,0.056,0.319,0.191,0.088,0.194,0.126,1539071.0,0.934,0.367,1475428.0,0.921,0.382,2947765.0,0.92,0.31,2168665.0,0.9,0.257,1.0,30152.0,36919.0,42690.0,62605.0,77691.0
Oklahoma ,2022,405237.0,0.136,0.39,0.388,0.086,2661141.0,0.035,0.069,0.306,0.221,0.084,0.186,0.099,534957.0,0.911,0.281,532522.0,0.893,0.329,931666.0,0.887,0.278,661996.0,0.897,0.264,1.0,30354.0,35332.0,40237.0,53732.0,70191.0
Oregon ,2022,363840.0,0.129,0.367,0.402,0.102,3043930.0,0.036,0.048,0.227,0.237,0.089,0.222,0.141,596347.0,0.929,0.372,593849.0,0.913,0.416,1037020.0,0.902,0.345,816714.0,0.927,0.342,1.0,30994.0,37284.0,42769.0,62676.0,81633.0
Pennsylvania ,2022,1198106.0,0.116,0.35,0.386,0.148,9151744.0,0.028,0.05,0.33,0.152,0.089,0.208,0.143,1677321.0,0.942,0.423,1623572.0,0.932,0.432,3311797.0,0.924,0.334,2539054.0,0.9,0.273,1.0,32177.0,38087.0,44804.0,64722.0,80977.0
Rhode Island ,2022,112397.0,0.123,0.315,0.382,0.179,778191.0,0.048,0.047,0.247,0.181,0.08,0.239,0.157,150979.0,0.949,0.457,137922.0,0.92,0.468,283173.0,0.896,0.375,206117.0,0.874,0.333,1.0,35287.0,41160.0,48802.0,67148.0,85586.0
South Carolina ,2022,500570.0,0.124,0.375,0.385,0.116,3664922.0,0.028,0.067,0.277,0.201,0.101,0.198,0.128,663662.0,0.927,0.342,667920.0,0.9,0.37,1324722.0,0.913,0.317,1008618.0,0.883,0.298,1.0,27141.0,34785.0,40386.0,57407.0,67170.0
South Dakota ,2022,85108.0,0.131,0.371,0.39,0.108,605735.0,0.029,0.039,0.292,0.191,0.132,0.217,0.099,111152.0,0.926,0.361,116031.0,0.95,0.383,212643.0,0.936,0.29,165909.0,0.916,0.272,1.0,30523.0,38669.0,45237.0,52325.0,67981.0
Tennessee ,2022,648096.0,0.1,0.396,0.379,0.125,4868110.0,0.035,0.061,0.313,0.201,0.078,0.197,0.114,964188.0,0.939,0.351,909015.0,0.913,0.363,1776943.0,0.904,0.298,1217964.0,0.869,0.259,1.0,30183.0,36093.0,41663.0,57539.0,72837.0
Texas ,2022,2992526.0,0.142,0.357,0.382,0.119,19597383.0,0.072,0.067,0.242,0.203,0.078,0.216,0.123,4329357.0,0.904,0.353,4238922.0,0.876,0.38,6992019.0,0.843,0.329,4037085.0,0.83,0.3,1.0,29317.0,36217.0,43687.0,64905.0,82824.0
Utah ,2022,407295.0,0.106,0.357,0.455,0.082,2042912.0,0.03,0.04,0.22,0.231,0.1,0.247,0.132,494776.0,0.947,0.384,461217.0,0.93,0.423,683220.0,0.915,0.366,403699.0,0.936,0.346,1.0,37472.0,40700.0,43406.0,60973.0,90548.0
Vermont ,2022,65687.0,0.105,0.344,0.433,0.118,467643.0,0.016,0.034,0.26,0.159,0.088,0.245,0.197,77515.0,0.975,0.478,80179.0,0.96,0.519,170122.0,0.947,0.41,139827.0,0.934,0.417,1.0,34612.0,41388.0,44003.0,54163.0,68409.0
Virginia ,2022,842750.0,0.095,0.362,0.394,0.149,5978782.0,0.035,0.049,0.239,0.179,0.076,0.236,0.186,1156622.0,0.948,0.451,1180820.0,0.927,0.478,2179298.0,0.915,0.418,1462042.0,0.88,0.359,1.0,30436.0,39730.0,45135.0,73893.0,96914.0
Washington ,2022,671550.0,0.127,0.364,0.351,0.158,5470209.0,0.035,0.043,0.215,0.212,0.1,0.238,0.157,1176297.0,0.935,0.432,1115638.0,0.917,0.436,1869132.0,0.912,0.375,1309142.0,0.928,0.355,1.0,36000.0,42288.0,51740.0,76376.0,100613.0
West Virginia ,2022,161047.0,0.109,0.419,0.366,0.107,1262566.0,0.034,0.074,0.383,0.172,0.088,0.15,0.098,207092.0,0.936,0.294,216666.0,0.917,0.31,462646.0,0.885,0.232,376162.0,0.86,0.207,1.0,26692.0,35052.0,40791.0,52887.0,63974.0
Wisconsin ,2022,562259.0,0.106,0.372,0.377,0.146,4088500.0,0.024,0.041,0.296,0.195,0.112,0.217,0.116,733729.0,0.947,0.386,742993.0,0.939,0.392,1509392.0,0.932,0.319,1102386.0,0.927,0.274,1.0,35193.0,40104.0,45726.0,61428.0,75811.0
Wyoming ,2022,51982.0,0.161,0.327,0.441,0.072,399796.0,0.021,0.041,0.273,0.249,0.12,0.18,0.116,72434.0,0.947,0.292,81607.0,0.918,0.323,137767.0,0.946,0.305,107988.0,0.934,0.265,1.0,28406.0,37396.0,44020.0,54129.0,68506.0
